Year,Month,Region,Total Crime,Active Duty 1941-1947,Active Duty 1941 & Earlier,Active Duty 1947-1950,Active Duty 1950-1955,Active Duty 1955-1964,Active Duty 1964-1975,Active Duty 1975-1990,Active Duty 1990-2001,Active Duty 2001-Recent,Active Duty or Veteran,Carrying Cash,Born Abroad,Born in Territories,Born in US,Naturalized Citizen,Difficulties Concentrating,Difficulties Dressing,Difficulties Going Outside,Difficulties Hearing,Difficulties Seeing,Difficulties with Stairs,Employed,Hate Crime towards Disabled,Hate Crime towards Ethnicity,Hate Crime towards Gender,Hate Crime towards Race,Hate Crime towards Religion,Hate Crime towards Sexuality,High Income,Low Income,Middle Income,Worked in the past 2 Weeks,Worked in the past 6 Months,Worked in the past Week,Federal Employee,Non-Profit Employee,Private Employee,Self-employed,State Employee,Lived at Address 10-15 Years,Lived at Address 15+ Years,Lived at Address 5-10 Years,Lived at Address 0-5 Years,Living on a Reservation,Living at a Dormitory,Living at a House,Living at a NonPermanent Hotel,Living at a Permanent Hotel,Living at a Permanent Mobile Home,Works in Agriculture,Works in Construction,Works in Entertainment,Works in Finance,Works in Government,Works in Manufacturing,Works in Personal Services,Works in Professional Services,Works in Repair Services,Works in Retail Trade,Works in Transportation,Works in Wholesale Trade,Pregnant,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70+,Hispanic,AAPI,Native,Asian,Black,Multiracial,White,Associates Degree,Bachelors Degree,High School Degree,Less than High School,Masters Degree,Doctorate Degree,Professional Degree,Divorced,Married,Single,Separated,Widowed,College Student,Not a Student,K-12 Student,Trade Student,Vocational Student,Female,Male,Not Heterosexual Identifying,Works in City,Works in Rural Location,Works in Suburb
1996,8,South,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,NA,NA,NA,NA,NA,NA,0,286,95,33,43,267,NA,NA,NA,NA,NA,29,64,53,152,NA,6,371,0,0,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,79,105,111,67,33,21,43,NA,NA,NA,NA,NA,NA,0,0,0,203,0,0,0,73,236,63,24,25,35,382,0,0,1,168,256,NA,181,22,55
1996,8,West,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,NA,0,257,74,24,30,229,NA,NA,NA,NA,NA,17,45,58,146,NA,2,336,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,61,107,102,44,29,11,76,NA,NA,NA,NA,NA,NA,0,0,0,155,0,0,0,79,188,69,12,15,39,315,0,2,5,160,203,NA,167,15,31
1996,9,Midwest,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,0,187,78,21,24,187,NA,NA,NA,NA,NA,19,39,37,110,NA,5,278,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,60,80,80,30,19,10,13,NA,NA,NA,NA,NA,NA,0,0,0,138,0,0,0,47,150,67,13,11,22,266,0,0,1,117,174,NA,120,19,36
1996,9,Northeast,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,0,130,70,19,23,133,NA,NA,NA,NA,NA,25,43,35,71,NA,8,213,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,40,59,49,50,11,12,16,NA,NA,NA,NA,NA,NA,0,0,0,82,0,0,0,26,122,55,9,12,27,194,0,0,1,88,136,NA,76,16,42
1996,9,South,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,NA,NA,NA,NA,NA,NA,0,324,97,22,35,292,NA,NA,NA,NA,NA,29,72,60,159,NA,4,426,1,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,90,137,120,50,32,31,48,NA,NA,NA,NA,NA,NA,0,0,0,215,0,0,0,79,241,81,27,38,28,435,0,1,3,196,272,NA,198,25,44
1996,9,West,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,NA,NA,NA,NA,NA,NA,0,251,89,19,27,210,NA,NA,NA,NA,NA,24,35,66,140,NA,1,352,1,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,63,94,111,48,26,21,90,NA,NA,NA,NA,NA,NA,0,0,0,171,0,0,0,60,185,80,22,22,24,341,0,1,4,160,212,NA,147,19,31
1996,10,Midwest,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,0,212,70,24,32,183,NA,NA,NA,NA,NA,23,36,43,117,NA,3,299,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,59,95,90,33,16,11,10,NA,NA,NA,NA,NA,NA,0,0,0,156,0,0,0,47,174,58,16,15,20,289,0,0,1,120,191,NA,119,11,52
1996,10,Northeast,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,0,95,63,26,28,107,NA,NA,NA,NA,NA,17,36,28,63,NA,9,178,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,21,45,53,47,8,9,11,NA,NA,NA,NA,NA,NA,0,0,0,79,0,0,0,26,111,36,13,4,18,169,0,1,0,73,117,NA,66,7,41
1996,10,South,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,NA,NA,NA,NA,NA,NA,0,307,122,26,31,304,NA,NA,NA,NA,NA,44,68,86,156,NA,8,438,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,84,128,142,67,28,23,53,NA,NA,NA,NA,NA,NA,0,0,0,227,0,0,0,63,292,80,20,28,37,441,0,1,0,184,299,NA,194,22,61
1996,10,West,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,NA,NA,NA,NA,NA,NA,0,217,96,20,25,207,NA,NA,NA,NA,NA,21,43,48,128,NA,0,320,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,58,96,95,44,24,21,72,NA,NA,NA,NA,NA,NA,0,0,0,136,0,0,0,60,187,61,12,18,19,314,0,1,2,136,202,NA,147,21,23
