"","Region","Year","Month","referenceSex_male","referenceSex_female","referenceSex_unknown","reference_age_10s","reference_age_20s","reference_age_30s","reference_age_40s","reference_age_50s","reference_age_60s","reference_age_70sOlder","reference_age_Unknown","reference_raceAAPI","reference_raceAmericanIndian","reference_raceAsian","reference_raceBlack","reference_raceWhite","reference_raceUnknown","reference_hispanic_yes","reference_hispanic_unknown","offernderRelation_boyfriend_girlfriend_yes","offernderRelation_child_yes","offernderRelation_employee_yes","offernderRelation_exspouse_yes","offernderRelation_friend_yes","offernderRelation_otherRelative_yes","offernderRelation_parent_yes","offernderRelation_sibling_yes","offernderRelation_spouse_yes","offernderRelation_suporvisor_yes","Total"
"32","Midwest",1978,"March",4.26587812303933e-06,1.5698452654766e-06,0,5.63096954842752e-07,1.74048047189708e-06,1.2285747652865e-06,8.19050011234973e-07,5.97224032635882e-07,3.24207376348161e-07,2.90080289015724e-07,5.11906453002805e-08,0,1.70635486505767e-08,1.70635486505767e-08,3.17381505662668e-06,2.62778307619437e-06,0,0,5.83571669176689e-06,1.5357192826144e-07,2.21826110856877e-07,0,0,3.4127091946661e-07,8.53177407853257e-08,1.70635474291535e-07,1.02381287980079e-07,8.53177080515218e-07,0,5.83571669176689e-06
"33","Midwest",1978,"May",3.94167202460759e-06,1.41627355471485e-06,0,5.63096954842752e-07,2.04762377025833e-06,1.04087594040527e-06,5.46033415287396e-07,4.09525089472851e-07,2.90080289015724e-07,2.73016745023781e-07,3.41270972320332e-08,0,1.70635486505767e-08,0,2.79841810209352e-06,2.50833854069635e-06,3.41270972320332e-08,0,5.35793999707359e-06,1.5357192826144e-07,8.53177407853257e-08,0,3.41270972320332e-08,3.5833446251594e-07,8.53177407853257e-08,6.82541932994077e-08,6.82541932994077e-08,5.97224032635882e-07,0,5.35793999707359e-06
"34","Midwest",1978,"November",4.19762421646681e-06,1.29682887450854e-06,0,6.82541722689464e-07,1.91111564920119e-06,1.07500300211524e-06,5.97224032635882e-07,4.77779254820461e-07,2.5595320051863e-07,2.90080289015724e-07,3.41270972320332e-08,0,5.11906453002805e-08,5.11906453002805e-08,3.20794204554579e-06,2.08175079738893e-06,1.02381287980079e-07,0,5.49444764739001e-06,1.5357192826144e-07,1.70635474291535e-07,0,3.41270972320332e-08,2.73016745023781e-07,8.53177407853257e-08,8.53177407853257e-08,5.11906453002805e-08,5.2896987566292e-07,0,5.49444764739001e-06
"35","Midwest",1978,"October",4.21468769349117e-06,1.19444770881748e-06,0,5.11906335525235e-07,1.96230619667032e-06,8.87304148408763e-07,8.01986476047081e-07,4.9484279531843e-07,3.07143832716503e-07,2.04762565700276e-07,5.11906453002805e-08,0,1.70635486505767e-08,0,2.95198960037509e-06,2.38889399093133e-06,5.11906453002805e-08,0,5.4091303680982e-06,1.8769902025251e-07,1.70635474291535e-07,0,0,4.09525089472851e-07,5.11906453002805e-08,8.53177407853257e-08,5.11906453002805e-08,4.9484279531843e-07,1.70635486505767e-08,5.4091303680982e-06
"36","Midwest",1978,"September",5.0166707894242e-06,1.41627355471485e-06,1.70635486505767e-08,8.36113545909655e-07,2.23532240595225e-06,1.05793947151686e-06,9.21431215359695e-07,5.63096954842752e-07,2.90080289015724e-07,3.7539800505206e-07,1.02381287980079e-07,0,1.70635486505767e-08,1.70635486505767e-08,3.61746582128826e-06,2.78135460068061e-06,1.70635486505767e-08,0,6.45000067828797e-06,1.8769902025251e-07,1.70635474291535e-07,0,5.11906453002805e-08,2.90080289015724e-07,5.11906453002805e-08,1.70635474291535e-07,8.53177407853257e-08,5.80160493884899e-07,0,6.45000067828797e-06
"37","Midwest",1979,"April",4.23588406740356e-06,1.44598653800923e-06,1.70116184135738e-08,6.80464513701405e-07,1.65012564557763e-06,9.35638586991809e-07,7.82534150831224e-07,5.10348428740806e-07,3.23220701703607e-07,3.57243927466392e-07,5.10348545945805e-08,0,5.10348545945805e-08,1.70116184135738e-08,3.09610979753109e-06,2.50070481173711e-06,3.4023236759797e-08,0,5.69887600215499e-06,1.3609293987166e-07,1.3609293987166e-07,0,3.4023236759797e-08,2.55174246927343e-07,3.4023236759797e-08,1.87127787520758e-07,3.4023236759797e-08,7.31499333568591e-07,0,5.69887600215499e-06
"38","Midwest",1979,"August",4.95036876801143e-06,1.71817200543247e-06,0,7.14487727087561e-07,2.48369323557512e-06,1.19081259494638e-06,1.03770819807611e-06,3.91267151849552e-07,2.55174246927343e-07,3.57243927466392e-07,8.50580896180067e-08,0,3.4023236759797e-08,1.70116184135738e-08,3.04507509834124e-06,3.47036417859953e-06,1.02069706584605e-07,0,6.66853226788723e-06,2.21151017691818e-07,8.50580896180067e-08,0,5.10348545945805e-08,2.7218586099999e-07,1.87127787520758e-07,6.80464721399689e-08,6.80464721399689e-08,6.29429691229667e-07,0,6.66853226788723e-06
"39","Midwest",1979,"December",5.10347256605943e-06,1.51403291175499e-06,0,6.46441298935626e-07,2.53472796341494e-06,1.24184738876805e-06,8.33568965489305e-07,5.61383257289836e-07,3.74255539802669e-07,1.53104555970073e-07,1.70116184135738e-08,0,3.4023236759797e-08,0,3.31726013051621e-06,3.19817918809718e-06,6.80464721399689e-08,0,6.61749775101456e-06,1.87127787520758e-07,1.70116171779091e-07,0,1.70116184135738e-08,3.57243927466392e-07,6.80464721399689e-08,3.4023236759797e-08,8.50580896180067e-08,5.44371647914858e-07,3.4023236759797e-08,6.61749775101456e-06
"40","Midwest",1979,"February",4.28691870582087e-06,1.61610246380283e-06,0,5.61383257289836e-07,2.3986353499802e-06,1.0547197988366e-06,4.7632520818713e-07,5.44371647914858e-07,3.23220701703607e-07,2.7218586099999e-07,1.70116184135738e-08,0,3.4023236759797e-08,1.70116184135738e-08,3.35128325441227e-06,2.48369323557512e-06,1.70116184135738e-08,0,5.90301424154427e-06,1.87127787520758e-07,2.04139402750986e-07,0,6.80464721399689e-08,2.89197474783243e-07,1.19081323261808e-07,1.3609293987166e-07,1.3609293987166e-07,3.74255539802669e-07,0,5.90301424154427e-06
"41","Midwest",1979,"January",4.5250803171826e-06,1.34391696859774e-06,0,4.93336818497643e-07,1.88828788514504e-06,1.20782419332436e-06,6.9747612053918e-07,5.10348428740806e-07,4.7632520818713e-07,3.74255539802669e-07,6.80464721399689e-08,0,3.4023236759797e-08,0,2.80691313449878e-06,3.01105196424906e-06,1.70116184135738e-08,0,5.86899120446596e-06,2.21151017691818e-07,1.53104555970073e-07,0,8.50580896180067e-08,1.87127787520758e-07,5.10348545945805e-08,1.70116171779091e-07,6.80464721399689e-08,5.44371647914858e-07,1.70116184135738e-08,5.86899120446596e-06
