Region,Year,Month,Male,Female,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70+,AAPI,Native,Asian,Black,White,Hispanic
Midwest,1980,February,4.76E-06,1.48E-06,4.93E-07,2.16E-06,1.36E-06,8.32E-07,5.44E-07,2.38E-07,3.23E-07,0,1.70E-08,6.80E-08,3.28E-06,2.87E-06,6.80E-08
Midwest,1980,January,4.40E-06,1.61E-06,5.61E-07,2.24E-06,1.05E-06,8.83E-07,3.74E-07,2.21E-07,1.53E-07,0,1.70E-08,1.70E-08,3.07E-06,2.89E-06,8.49E-08
Midwest,1980,July,5.79E-06,1.60E-06,1.00E-06,2.79E-06,1.34E-06,7.47E-07,5.78E-07,3.74E-07,3.23E-07,0,3.40E-08,1.70E-08,4.15E-06,3.19E-06,1.02E-07
Midwest,1980,June,4.81E-06,1.46E-06,6.12E-07,2.41E-06,1.19E-06,6.80E-07,5.44E-07,3.06E-07,2.72E-07,0,3.40E-08,0,3.43E-06,2.82E-06,2.04E-07
Midwest,1980,March,4.42E-06,1.36E-06,6.12E-07,2.09E-06,1.21E-06,5.27E-07,5.95E-07,2.04E-07,3.40E-07,0,1.70E-08,3.40E-08,3.01E-06,2.67E-06,8.49E-08
Midwest,1980,May,5.28E-06,1.82E-06,1.00E-06,2.90E-06,1.33E-06,5.44E-07,5.61E-07,2.89E-07,2.55E-07,0,6.80E-08,0,3.58E-06,3.43E-06,1.19E-07
Midwest,1980,November,4.52E-06,1.48E-06,7.13E-07,1.95E-06,1.38E-06,5.78E-07,5.27E-07,2.04E-07,3.57E-07,0,1.70E-08,0,3.13E-06,2.85E-06,6.80E-08
Midwest,1980,October,5.50E-06,1.60E-06,6.29E-07,2.67E-06,1.63E-06,6.97E-07,6.12E-07,3.57E-07,3.40E-07,0,1.70E-08,1.70E-08,3.94E-06,3.13E-06,1.53E-07
Midwest,1980,September,5.25E-06,1.87E-06,7.98E-07,2.16E-06,1.73E-06,9.85E-07,5.61E-07,3.40E-07,2.89E-07,0,5.10E-08,1.70E-08,3.67E-06,3.38E-06,1.70E-07
Midwest,1981,April,4.33E-06,1.26E-06,4.24E-07,1.77E-06,1.37E-06,6.79E-07,5.09E-07,2.72E-07,3.06E-07,0,3.39E-08,0,2.85E-06,2.63E-06,1.36E-07
Midwest,1981,August,5.48E-06,1.70E-06,9.17E-07,2.61E-06,1.49E-06,7.30E-07,6.79E-07,2.72E-07,2.89E-07,0,0,1.02E-07,4.02E-06,3.02E-06,4.24E-07
Midwest,1981,December,5.08E-06,1.46E-06,4.58E-07,2.27E-06,1.51E-06,5.26E-07,6.96E-07,4.41E-07,3.56E-07,0,5.09E-08,3.39E-08,3.63E-06,2.82E-06,4.58E-07
Midwest,1981,February,4.50E-06,1.32E-06,5.60E-07,2.02E-06,1.19E-06,6.96E-07,4.92E-07,2.55E-07,3.06E-07,0,5.09E-08,0,2.94E-06,2.83E-06,1.70E-07
Midwest,1981,January,5.38E-06,1.56E-06,6.45E-07,2.39E-06,1.43E-06,7.81E-07,6.62E-07,3.90E-07,2.72E-07,0,1.70E-08,0,3.45E-06,3.46E-06,1.70E-07
Midwest,1981,July,5.16E-06,1.36E-06,7.47E-07,2.07E-06,1.34E-06,8.32E-07,6.62E-07,2.21E-07,2.72E-07,0,0,1.70E-08,3.56E-06,2.92E-06,3.39E-07
Midwest,1981,June,4.92E-06,1.22E-06,5.77E-07,2.24E-06,1.39E-06,7.98E-07,4.75E-07,1.87E-07,2.55E-07,0,1.70E-08,8.49E-08,3.73E-06,2.31E-06,3.73E-07
Midwest,1981,March,4.96E-06,1.36E-06,6.96E-07,1.95E-06,1.44E-06,5.60E-07,7.47E-07,3.56E-07,3.06E-07,0,3.39E-08,1.70E-08,3.56E-06,2.58E-06,1.53E-07
Midwest,1981,May,4.70E-06,1.29E-06,5.60E-07,1.94E-06,1.14E-06,8.49E-07,7.47E-07,2.89E-07,2.89E-07,0,6.79E-08,0,3.33E-06,2.60E-06,3.90E-07
Midwest,1981,November,4.11E-06,1.39E-06,5.60E-07,2.00E-06,1.05E-06,6.11E-07,4.92E-07,3.39E-07,2.21E-07,0,5.09E-08,6.79E-08,2.97E-06,2.39E-06,3.23E-07
Midwest,1981,October,4.18E-06,1.34E-06,5.26E-07,1.95E-06,1.34E-06,5.26E-07,4.92E-07,2.89E-07,2.21E-07,0,3.39E-08,1.70E-08,2.97E-06,2.48E-06,4.24E-07
Midwest,1981,September,4.45E-06,1.39E-06,6.79E-07,2.31E-06,1.22E-06,5.09E-07,4.58E-07,2.89E-07,2.21E-07,0,1.70E-08,6.79E-08,3.07E-06,2.66E-06,3.39E-07
Midwest,1982,April,3.78E-06,1.75E-06,6.29E-07,2.01E-06,1.11E-06,5.44E-07,4.76E-07,2.38E-07,2.38E-07,0,5.10E-08,1.70E-08,2.98E-06,2.45E-06,2.55E-07
Midwest,1982,August,5.04E-06,1.67E-06,9.70E-07,2.25E-06,1.45E-06,6.97E-07,6.80E-07,3.06E-07,2.04E-07,0,5.10E-08,1.70E-08,3.23E-06,3.40E-06,3.57E-07
Midwest,1982,December,4.46E-06,1.46E-06,6.12E-07,1.91E-06,1.34E-06,8.17E-07,5.10E-07,2.55E-07,2.55E-07,0,6.80E-08,5.10E-08,3.16E-06,2.64E-06,1.87E-07
Midwest,1982,February,3.54E-06,1.29E-06,4.93E-07,1.55E-06,1.09E-06,5.61E-07,3.23E-07,1.87E-07,3.23E-07,0,0,5.10E-08,2.67E-06,2.09E-06,2.72E-07
Midwest,1982,January,4.25E-06,1.50E-06,5.10E-07,2.18E-06,1.04E-06,7.14E-07,5.27E-07,2.21E-07,2.72E-07,0,3.40E-08,1.70E-08,3.20E-06,2.50E-06,1.19E-07
Midwest,1982,July,4.83E-06,1.62E-06,6.29E-07,2.31E-06,1.55E-06,6.46E-07,4.08E-07,2.89E-07,2.55E-07,0,3.40E-08,1.70E-08,3.74E-06,2.62E-06,2.72E-07
Midwest,1982,June,4.18E-06,1.12E-06,4.76E-07,1.94E-06,1.12E-06,5.78E-07,4.76E-07,3.23E-07,1.87E-07,0,1.70E-08,5.10E-08,3.30E-06,1.94E-06,1.70E-07
Midwest,1982,March,3.96E-06,1.39E-06,6.63E-07,1.70E-06,1.17E-06,6.12E-07,4.25E-07,1.53E-07,3.57E-07,0,1.70E-08,5.10E-08,2.99E-06,2.30E-06,2.38E-07
Midwest,1982,May,4.25E-06,1.02E-06,3.40E-07,2.06E-06,1.02E-06,7.14E-07,3.91E-07,3.57E-07,2.55E-07,0,0,0,2.99E-06,2.28E-06,4.25E-07
Midwest,1982,November,4.17E-06,1.39E-06,4.59E-07,1.82E-06,1.39E-06,5.10E-07,4.59E-07,2.55E-07,3.74E-07,0,1.70E-08,1.70E-08,2.84E-06,2.65E-06,3.06E-07
Midwest,1982,October,4.07E-06,1.41E-06,8.68E-07,1.55E-06,1.21E-06,5.95E-07,3.91E-07,3.40E-07,3.23E-07,0,3.40E-08,1.70E-08,3.11E-06,2.30E-06,2.04E-07
Midwest,1982,September,4.41E-06,1.43E-06,4.93E-07,2.04E-06,1.31E-06,7.31E-07,5.27E-07,2.04E-07,2.21E-07,0,3.40E-08,0,3.18E-06,2.60E-06,2.55E-07
Midwest,1983,April,3.17E-06,1.29E-06,5.28E-07,1.50E-06,9.71E-07,4.60E-07,4.60E-07,1.36E-07,2.73E-07,0,3.41E-08,6.82E-08,2.44E-06,1.93E-06,2.90E-07
Midwest,1983,August,4.52E-06,1.53E-06,4.43E-07,1.91E-06,1.67E-06,7.67E-07,4.26E-07,1.70E-07,3.58E-07,0,3.41E-08,5.11E-08,3.36E-06,2.57E-06,2.56E-07
Midwest,1983,December,4.28E-06,1.96E-06,5.28E-07,2.33E-06,1.23E-06,6.99E-07,5.45E-07,3.92E-07,3.75E-07,0,1.70E-08,1.70E-08,3.42E-06,2.78E-06,2.56E-07
Midwest,1983,February,3.71E-06,1.01E-06,4.26E-07,1.84E-06,9.20E-07,4.60E-07,4.26E-07,2.73E-07,1.87E-07,0,0,6.82E-08,2.57E-06,2.06E-06,2.21E-07
Midwest,1983,January,3.99E-06,1.21E-06,5.62E-07,1.82E-06,1.07E-06,5.96E-07,3.75E-07,1.87E-07,2.56E-07,0,1.70E-08,5.11E-08,3.27E-06,1.86E-06,1.53E-07
Midwest,1983,July,4.80E-06,1.07E-06,6.99E-07,1.87E-06,1.53E-06,7.16E-07,3.92E-07,3.24E-07,2.21E-07,0,3.41E-08,6.82E-08,3.25E-06,2.52E-06,4.94E-07
Midwest,1983,June,3.32E-06,1.23E-06,4.09E-07,1.57E-06,1.14E-06,4.60E-07,4.43E-07,2.39E-07,1.19E-07,0,1.70E-08,0,2.68E-06,1.86E-06,2.21E-07
Midwest,1983,March,4.12E-06,1.19E-06,4.60E-07,1.69E-06,1.33E-06,7.67E-07,3.92E-07,2.56E-07,2.21E-07,0,1.70E-08,1.70E-08,2.96E-06,2.30E-06,2.21E-07
Midwest,1983,May,4.12E-06,1.31E-06,6.64E-07,1.74E-06,1.09E-06,6.30E-07,5.62E-07,2.04E-07,2.56E-07,0,1.70E-08,0,3.27E-06,2.15E-06,1.53E-07
Midwest,1983,November,4.31E-06,1.40E-06,5.79E-07,2.04E-06,1.21E-06,5.96E-07,4.94E-07,2.73E-07,2.90E-07,0,3.41E-08,1.70E-08,3.03E-06,2.62E-06,3.58E-07
Midwest,1983,October,3.82E-06,1.28E-06,4.26E-07,1.72E-06,1.04E-06,6.47E-07,3.92E-07,2.90E-07,3.07E-07,0,1.70E-08,1.70E-08,2.64E-06,2.42E-06,3.07E-07
Midwest,1983,September,4.09E-06,1.41E-06,6.13E-07,2.10E-06,1.14E-06,6.13E-07,2.90E-07,2.90E-07,2.39E-07,0,6.82E-08,3.41E-08,3.12E-06,2.28E-06,2.90E-07
Midwest,1984,April,2.79E-06,9.19E-07,3.74E-07,1.41E-06,8.68E-07,3.23E-07,2.55E-07,1.70E-07,1.87E-07,0,3.40E-08,3.40E-08,1.99E-06,1.65E-06,1.19E-07
Midwest,1984,August,3.03E-06,9.87E-07,4.25E-07,1.28E-06,1.00E-06,4.08E-07,2.38E-07,2.21E-07,2.55E-07,0,5.10E-08,1.70E-08,1.89E-06,2.06E-06,1.53E-07
Midwest,1984,December,2.88E-06,1.21E-06,4.59E-07,1.33E-06,9.53E-07,5.61E-07,2.89E-07,1.19E-07,1.19E-07,0,0,1.70E-08,2.06E-06,1.99E-06,1.02E-07
Midwest,1984,February,2.99E-06,1.11E-06,4.25E-07,1.43E-06,7.83E-07,3.91E-07,4.08E-07,2.55E-07,2.04E-07,0,1.70E-08,5.10E-08,2.19E-06,1.82E-06,6.81E-08
Midwest,1984,January,2.86E-06,1.21E-06,3.40E-07,1.24E-06,9.02E-07,5.10E-07,2.72E-07,2.72E-07,2.89E-07,0,3.40E-08,1.70E-08,2.21E-06,1.80E-06,6.81E-08
Midwest,1984,July,2.99E-06,9.53E-07,5.78E-07,1.36E-06,8.34E-07,5.10E-07,2.38E-07,1.53E-07,1.70E-07,0,3.40E-08,3.40E-08,2.19E-06,1.67E-06,8.51E-08
Midwest,1984,June,2.43E-06,1.05E-06,3.06E-07,1.55E-06,7.32E-07,4.08E-07,1.36E-07,2.04E-07,8.51E-08,0,1.70E-08,0,1.67E-06,1.79E-06,5.10E-08
Midwest,1984,March,2.82E-06,1.14E-06,3.91E-07,1.28E-06,8.51E-07,3.91E-07,3.74E-07,2.21E-07,1.70E-07,0,3.40E-08,1.70E-08,1.91E-06,2.01E-06,1.02E-07
Midwest,1984,May,2.77E-06,1.34E-06,4.42E-07,1.21E-06,8.85E-07,3.74E-07,4.25E-07,2.72E-07,3.40E-07,0,0,3.40E-08,1.97E-06,2.11E-06,5.10E-08
Midwest,1984,November,2.71E-06,9.53E-07,3.06E-07,1.23E-06,8.51E-07,3.23E-07,3.40E-07,2.55E-07,2.21E-07,0,1.70E-08,3.40E-08,1.92E-06,1.67E-06,1.53E-07
Midwest,1984,October,3.33E-06,8.17E-07,3.40E-07,1.24E-06,1.07E-06,5.27E-07,2.89E-07,2.72E-07,1.36E-07,0,1.70E-08,0,2.21E-06,1.92E-06,5.10E-08
Midwest,1984,September,2.67E-06,7.83E-07,2.89E-07,1.24E-06,6.98E-07,3.91E-07,3.23E-07,1.36E-07,1.02E-07,0,5.10E-08,3.40E-08,1.94E-06,1.43E-06,3.40E-08
Midwest,1985,April,2.45E-06,9.35E-07,4.25E-07,1.04E-06,8.16E-07,4.42E-07,2.72E-07,1.02E-07,1.19E-07,0,0,0,1.82E-06,1.55E-06,6.80E-08
Midwest,1985,August,3.26E-06,1.16E-06,4.76E-07,1.43E-06,1.24E-06,3.74E-07,3.23E-07,2.21E-07,1.87E-07,0,0,0,2.23E-06,2.19E-06,1.70E-08
Midwest,1985,December,3.71E-06,1.07E-06,5.78E-07,1.43E-06,1.02E-06,5.61E-07,4.42E-07,1.87E-07,3.57E-07,0,3.40E-08,0,2.65E-06,2.06E-06,8.50E-08
Midwest,1985,February,2.75E-06,9.35E-07,3.74E-07,1.16E-06,8.33E-07,3.91E-07,2.55E-07,2.55E-07,1.19E-07,0,1.70E-08,0,1.84E-06,1.84E-06,1.19E-07
Midwest,1985,January,3.15E-06,1.31E-06,4.93E-07,1.48E-06,1.12E-06,4.42E-07,2.72E-07,1.87E-07,2.89E-07,0,1.70E-08,0,2.21E-06,2.23E-06,8.50E-08
Midwest,1985,July,3.54E-06,1.16E-06,4.93E-07,1.63E-06,1.04E-06,4.76E-07,2.72E-07,2.55E-07,2.72E-07,0,1.70E-08,1.70E-08,2.26E-06,2.38E-06,6.80E-08
Midwest,1985,June,2.82E-06,1.31E-06,5.78E-07,1.26E-06,1.00E-06,3.91E-07,2.21E-07,1.53E-07,3.40E-07,0,0,0,2.18E-06,1.94E-06,8.50E-08
Midwest,1985,March,2.92E-06,1.36E-06,3.40E-07,1.55E-06,1.17E-06,4.08E-07,1.70E-07,2.04E-07,2.04E-07,0,3.40E-08,1.70E-08,2.18E-06,2.06E-06,1.36E-07
Midwest,1985,May,2.84E-06,1.12E-06,4.08E-07,1.24E-06,1.00E-06,5.44E-07,1.87E-07,2.04E-07,1.70E-07,0,1.70E-08,1.70E-08,2.35E-06,1.55E-06,3.40E-08
Midwest,1985,November,3.06E-06,1.04E-06,3.06E-07,1.29E-06,9.18E-07,5.95E-07,2.21E-07,2.72E-07,2.38E-07,0,0,0,2.19E-06,1.90E-06,1.36E-07
Midwest,1985,October,3.04E-06,1.19E-06,4.25E-07,1.43E-06,1.14E-06,3.74E-07,3.40E-07,2.89E-07,1.87E-07,0,3.40E-08,3.40E-08,2.30E-06,1.85E-06,6.80E-08
Midwest,1985,September,3.37E-06,1.28E-06,5.27E-07,1.26E-06,1.21E-06,6.12E-07,2.55E-07,2.89E-07,2.89E-07,0,1.70E-08,3.40E-08,2.19E-06,2.36E-06,1.19E-07
Midwest,1986,April,3.57E-06,1.39E-06,6.97E-07,1.48E-06,1.07E-06,4.93E-07,4.59E-07,3.06E-07,3.23E-07,0,0,5.10E-08,2.82E-06,2.11E-06,2.55E-07
Midwest,1986,August,4.84E-06,1.46E-06,7.82E-07,2.19E-06,1.55E-06,5.44E-07,5.10E-07,1.70E-07,2.38E-07,0,6.80E-08,3.40E-08,3.74E-06,2.45E-06,4.25E-07
Midwest,1986,December,3.01E-06,1.22E-06,6.12E-07,1.12E-06,1.19E-06,4.76E-07,3.23E-07,1.70E-07,2.55E-07,0,8.50E-08,3.40E-08,2.21E-06,1.90E-06,8.50E-08
Midwest,1986,February,3.26E-06,1.05E-06,4.42E-07,1.44E-06,1.07E-06,3.91E-07,2.89E-07,2.55E-07,2.21E-07,0,0,1.70E-08,2.21E-06,2.09E-06,2.72E-07
Midwest,1986,January,3.79E-06,1.51E-06,5.44E-07,1.87E-06,1.14E-06,5.27E-07,2.55E-07,2.55E-07,3.06E-07,0,3.40E-08,3.40E-08,2.96E-06,2.28E-06,1.87E-07
Midwest,1986,July,5.62E-06,1.34E-06,8.33E-07,2.72E-06,1.44E-06,6.97E-07,4.25E-07,3.06E-07,1.87E-07,0,6.80E-08,0,4.18E-06,2.70E-06,4.08E-07
Midwest,1986,June,4.27E-06,1.38E-06,5.95E-07,2.04E-06,1.29E-06,6.80E-07,2.89E-07,2.55E-07,2.04E-07,0,1.70E-08,3.40E-08,3.59E-06,2.01E-06,3.06E-07
Midwest,1986,March,3.89E-06,1.05E-06,5.10E-07,1.78E-06,1.24E-06,4.42E-07,3.40E-07,1.70E-07,2.55E-07,0,1.70E-08,5.10E-08,2.99E-06,1.87E-06,1.53E-07
Midwest,1986,May,4.04E-06,1.07E-06,5.27E-07,1.82E-06,1.21E-06,5.61E-07,2.55E-07,2.21E-07,3.57E-07,0,3.40E-08,1.70E-08,2.97E-06,2.09E-06,1.36E-07
